LSOA11CD,sum
E01004411,1981
E01004412,1788
E01004417,1887
E01004418,1780
E01004425,1991
E01004430,2674
E01004446,2668
E01004455,1793
E01004456,1685
E01004460,2047
E01004463,2048
E01004464,1729
E01004470,1670
E01004476,1813
E01004477,1659
E01004480,1722
E01004495,1585
E01004498,1685
E01004499,1611
E01004507,2585
E01004508,2002
E01004513,1931
E01004514,1822
E01004516,1746
E01004519,1760
E01004521,2036
E01004528,1653
E01004531,1762
E01004532,1441
E01004534,1921
E01004557,1727
E01004564,1872
E01004576,1606
E01004589,1796
E01004591,1901
E01004595,1801
E01004596,1617
E01004600,3144
E01004601,2465
E01004602,1649
E01004609,2136
E01004614,1970
E01004615,1645
E01004616,1898
E01004618,1510
E01004628,2341
E01004635,1660
E01004645,2113
E01004646,1723
E01004656,1966
E01004658,1522
E01004660,1431
E01004663,1416
E01004669,1719
E01004674,1902
E01004681,1837
E01004692,1026
E01004701,1543
E01004705,1245
E01004708,1540
E01004710,1952
E01004715,1805
E01004727,1546
E01004738,1239
E01004749,2185
E01004751,1712
E01004757,1657
E01004762,1549
E01032569,1790
E01032572,1610
E01032742,1767
E01032766,3291
E01032768,1322
E01032769,1337
E01032770,2125
E01032774,1802
E01032777,1277
E01032778,3825
E01032787,2452
E01032789,1202
E01032803,1506
E01033000,1752
E01033030,1852
E01033082,1260
E01033083,2217
E01033084,1975
E01033100,1869
E01033101,2791
E01033132,2037
E01033135,1188
E01033146,1538
E01033322,1257
E01033341,1326
E01033455,1144
E01033456,2625
E01033487,1199
E01033490,1400
E01033491,1932
E01033579,1885
E01033581,1923
E01033584,1703
E01033592,1983
E01033601,1981
E01033607,1075
E01033698,883
E01033699,1413
E01033704,2343
E01033705,1436
E01033708,1868
E01033711,1913
E01033725,4445
E01033728,1763
E01033731,2609
E01033737,1935
E01033738,1861
E01033741,2697
E01033742,1344
E01033743,1941
