LSOA11CD,LSOA11NM,geometry,Income Score - exponentially transformed,Employment Score - exponentially transformed,Education Score - exponentially transformed,Health Score - exponentially transformed,Crime Score - exponentially transformed,Barriers Score - exponentially transformed,Living Environment Score - exponentially transformed,IMD,IMD_minus_crime,IMD Group
E01002870,Kensington and Chelsea 005A,"POLYGON ((-0.2177695589339134 51.5134052224569, -0.2177970489200718 51.51232825826629, -0.2171184438532565 51.512491930527446, -0.2164372095637581 51.51265858935282, -0.2160915191325544 51.512201409003396, -0.2165234395890573 51.51192155071324, -0.2159275198324896 51.51107359363377, -0.2148635048577143 51.51123965385427, -0.2140062052370266 51.51124117951932, -0.2131657130797179 51.51157372342933, -0.2133707265364764 51.51206740133944, -0.212426281974408 51.51221133202765, -0.212119531440068 51.51113425556936, -0.2127446400157063 51.51050697472827, -0.2139653774134574 51.51040877626675, -0.2145764994896331 51.50992934212339, -0.2151329469612232 51.50993005080365, -0.2148285227178331 51.508852279349824, -0.2156281056291689 51.508664877617, -0.2158035017496345 51.509118803920266, -0.2162356699583072 51.509143299187734, -0.2168792418675077 51.50946677688527, -0.2172279667322502 51.51038563642108, -0.2180530032654716 51.51022959287638, -0.2178882756133599 51.5097597358241, -0.2192088835537161 51.509585593544486, -0.2202699516045286 51.511728433343656, -0.2199868323507201 51.5119075644369, -0.2179719649501542 51.51335229299852, -0.2177695589339134 51.5134052224569))",62.819,52.018,18.245,28.538,14.348,57.685,26.919,41.356566,44.1650645,0
E01002082,Haringey 013A,"POLYGON ((-0.0791014763774857 51.595695767937265, -0.0790655059652069 51.595104913771806, -0.080316402250742 51.59502486310175, -0.0805198732979062 51.595429057085965, -0.0811443143827988 51.59527821304038, -0.0815387229216378 51.59558515289967, -0.0835616418599236 51.595495392306276, -0.0836480545467009 51.5954820107022, -0.0835929273767671 51.59515415370409, -0.0819114739647687 51.59523766173231, -0.0818492282449672 51.59471067528768, -0.0829940673285586 51.594660327370434, -0.0842183170068292 51.594644518689876, -0.0841904898772367 51.59444289411952, -0.0870515864339697 51.594354415149226, -0.08732027263776 51.59538615539437, -0.0871820545038877 51.59785799670367, -0.0845647764635138 51.59784132707016, -0.0826659295388389 51.597906766594164, -0.0795046091787851 51.5981586385339, -0.0794596779252721 51.597878606449605, -0.0794343157129181 51.597724429326675, -0.0788637280872051 51.59696773635018, -0.0791014763774857 51.595695767937265))",92.039,86.166,35.173,37.227,58.174,78.285,22.753,64.676841,65.4024003,0
E01002840,Kensington and Chelsea 021A,"POLYGON ((-0.1755888336778639 51.48314868699627, -0.1749790279354873 51.48300162135532, -0.1745015664126523 51.48319545966545, -0.173825000133044 51.48252979369277, -0.1734631112842661 51.48214885472418, -0.1715980887733007 51.48257051167374, -0.1712583483835466 51.48264406909497, -0.1712364832710286 51.482536843069475, -0.173906528477543 51.48175649334814, -0.1757625684347223 51.48162171910261, -0.1778386621438433 51.48026555549831, -0.1775495176208696 51.48007671547277, -0.1784398291362886 51.47926642184681, -0.1785127222028376 51.48028122588653, -0.1789315656349784 51.48040914825831, -0.1787497759362762 51.480810385254166, -0.1783532524154413 51.48076991943673, -0.1782050362908275 51.480331372170646, -0.1772961160298936 51.48082391219543, -0.1777577509049029 51.48129069417044, -0.177497815413467 51.48142859219016, -0.1780842993857899 51.48163653044997, -0.1788621725962837 51.481055728972215, -0.1791863497330209 51.48095250245831, -0.1795477068157168 51.481490253657, -0.1800731941035633 51.48144132619321, -0.1802523894388824 51.48199762292404, -0.1794599138462927 51.48229778454258, -0.1791188231050588 51.48244756418414, -0.1771090823922645 51.48331096737275, -0.1769606099582082 51.483470875029475, -0.1760127840935422 51.48378904721393, -0.1755888336778639 51.48314868699627))",51.546,43.962,9.393,11.739,42.641,54.981,45.71,37.671996,37.19420100000001,0
E01002694,Islington 019A,"POLYGON ((-0.1133435591539708 51.537076246891985, -0.1133786370574824 51.53671894529021, -0.1125887366135807 51.53645299215028, -0.1117251408011281 51.5361394820273, -0.1111134469146393 51.53590849944792, -0.1106303407164062 51.535743188761565, -0.110507896148223 51.535387963815595, -0.1097933950268357 51.53520573926559, -0.1097135886643368 51.53476017823691, -0.1092700150866563 51.53497742884606, -0.1090751835715392 51.5345979068054, -0.1089919061967861 51.53432465775561, -0.1109099525684112 51.534091523132, -0.1114919398899926 51.53438504826968, -0.1114850870178756 51.534466661884395, -0.1113839889774601 51.53484132588975, -0.1113876220194034 51.53519943915816, -0.1129165953394882 51.535454774813665, -0.1133937874694946 51.53511706597655, -0.1147378764947121 51.53539046474258, -0.1150948702266794 51.535421380457116, -0.1161243296576396 51.53560311851964, -0.116763216524365 51.53625000997048, -0.1165924581121091 51.53693614816582, -0.1148701788425618 51.53683159846838, -0.1139023994161401 51.536763526346405, -0.1133435591539708 51.537076246891985))",64.906,45.083,24.151,46.22,32.77,27.385,33.497,42.957246,44.0420409,0
E01001320,Ealing 003E,"POLYGON ((-0.3807888683805232 51.55243586179046, -0.3800803935214914 51.55200817083129, -0.3796898909098852 51.552160142493086, -0.3794660825908197 51.55108750195607, -0.3798140647995718 51.55038920751014, -0.3808477009181298 51.54965873267109, -0.3795483491684835 51.54853954765302, -0.3798859460735947 51.54829868650868, -0.3805121970966444 51.54865402613252, -0.3812796757119355 51.54796771214647, -0.3809415409469827 51.54771531171681, -0.3829131291714612 51.546846337962855, -0.3824912312397141 51.546515400629545, -0.3833633193005119 51.54560359699534, -0.3826934211427827 51.545362078487926, -0.382209104905329 51.54495027595903, -0.3824476034399299 51.54459419080209, -0.3888669852185565 51.546550804378086, -0.395005302174488 51.54800753370295, -0.3950803316590848 51.548454626330646, -0.3949869015178877 51.548755863432426, -0.3939453019965456 51.548696811912805, -0.3883337275991728 51.5502438667, -0.3852703060628729 51.551170172515924, -0.3812249026875155 51.55314341291525, -0.3807736212585194 51.55337997551374, -0.3803439577267262 51.55268243803025, -0.3807888683805232 51.55243586179046))",52.212,50.597,32.388,17.439,29.854,81.78,14.919,41.628099,42.8730151,0
E01000074,Barking and Dagenham 012C,"POLYGON ((0.1236268748497965 51.54779654066022, 0.1233557863958495 51.547152573513266, 0.1244614825667747 51.54699948790528, 0.1247351088793863 51.54648537846305, 0.1242603650654943 51.546072457506966, 0.1238792272343715 51.545746104116276, 0.1220118352800066 51.54489999136613, 0.1222237452285248 51.544658226612555, 0.1213127561957391 51.54356600168474, 0.1206269711712026 51.543327520671404, 0.1186126965635736 51.543527388657, 0.1191006857589988 51.544119363989736, 0.118239218285712 51.544910379871524, 0.1167002373868934 51.5448837987073, 0.1174738573948857 51.5455583687973, 0.117173526860798 51.546070235995266, 0.1180468471039103 51.54649500904487, 0.1181075038634952 51.54678148491567, 0.1191261762930752 51.54787668099981, 0.1219198942294713 51.547392853714186, 0.1222251490062411 51.548024452361574, 0.1236268748497965 51.54779654066022))",42.588,29.587,32.522,27.627,15.404,79.045,20.435,35.043702,37.0899015,0
E01001283,Ealing 016C,"POLYGON ((-0.3339695581270014 51.52805207218501, -0.338099744917054 51.52710428458883, -0.3371507307779258 51.52545425151459, -0.336674613669848 51.524278496641756, -0.3378338817216213 51.52333113581811, -0.3378194659940658 51.523295924618395, -0.3386823069758579 51.52222497344277, -0.3394340962348744 51.52249604330111, -0.3396739679574312 51.52306206739467, -0.3405204480729053 51.522949834710374, -0.3407398212815547 51.5234818005297, -0.3411733809638468 51.52337939540329, -0.3412199482856575 51.52283570651193, -0.3435920882816855 51.52244327942591, -0.3463233841392381 51.52215024196549, -0.3463151001301512 51.522483990228345, -0.3462330139376156 51.52328684092301, -0.3461503443004292 51.523036580582186, -0.3436505466575522 51.523305600582376, -0.3438883699428308 51.52454233823833, -0.341891413437921 51.52488673317389, -0.342278610697123 51.525818355289196, -0.3441522026338902 51.52740265437945, -0.3417349985443619 51.527583705023375, -0.3402720318686987 51.528170704818535, -0.3398582294262444 51.5278796148865, -0.3392994088344293 51.5280393213818, -0.3386862080010968 51.52826352104129, -0.3369347216523376 51.52790874209509, -0.3341085528564252 51.52834062986568, -0.3339695581270014 51.52805207218501))",51.801,50.164,16.547,26.812,35.417,52.746,33.223,40.08448800000001,40.5988199,0
E01003196,Lewisham 029D,"POLYGON ((-0.0225684180038026 51.43698160193546, -0.0209210438420475 51.43521057040157, -0.0202477734075217 51.43433304488219, -0.0195156708419289 51.433203362362505, -0.0192592748479535 51.43276974227563, -0.0181791846619201 51.42979659703046, -0.0180197235960143 51.428991305193186, -0.0191366600866161 51.428946726307714, -0.0192196656670284 51.429402416662896, -0.0198408806268227 51.42895810488624, -0.0201559513157058 51.42907569334586, -0.0203753699482886 51.430167820715326, -0.0207652385451953 51.42934747577147, -0.0210389350055898 51.4292644360272, -0.0216522348733478 51.42999832958172, -0.0221681534764206 51.431141077873924, -0.0231505288136382 51.43097608772523, -0.0238410562328555 51.43026501178109, -0.0240969896160852 51.43020288830147, -0.0255551919252692 51.430374746131896, -0.0251511906687594 51.43149590973301, -0.02437406923041 51.43172848601167, -0.0235308609164616 51.43145441497328, -0.0235346068086134 51.43231796253234, -0.0241988880592397 51.4327744118709, -0.0232751676611336 51.43326356385007, -0.0236759787968543 51.433603198765454, -0.0242506761691485 51.43373419110855, -0.0250974921833309 51.43341895044625, -0.0256412929791443 51.43399828849316, -0.0257583042946432 51.43490395887385, -0.0269469755687644 51.43427824155941, -0.0275613088265624 51.43451455134148, -0.0273710490427404 51.43484452166005, -0.0269498750634124 51.435670421599305, -0.0263524951137945 51.435557226139146, -0.024085432569425 51.43589453976573, -0.023459450711854 51.436045719809606, -0.0234922483479677 51.43661250136475, -0.0225684180038026 51.43698160193546))",41.826,40.675,38.24,38.185,56.214,45.359,43.353,42.35821800000001,40.9741745,0
E01001979,Haringey 011D,"POLYGON ((-0.0695057086408985 51.5939932167486, -0.069750078415994 51.59296721955475, -0.0701362379217882 51.59050819142591, -0.0704567322064402 51.58902785797005, -0.070633915276521 51.588529862618756, -0.0715616944481493 51.588536182178125, -0.0710956470013082 51.58914033572712, -0.0724935757536252 51.589721817873794, -0.072887137774535 51.58957825954558, -0.0727568133944008 51.59053828787858, -0.0733597261859266 51.590926329906615, -0.0720750279318404 51.591855827603304, -0.0724987861928366 51.59203653172887, -0.0725698253170785 51.59245753023801, -0.0757662456192818 51.59296102605867, -0.0759371769504129 51.59271931414721, -0.0762698933523531 51.59276763544221, -0.0758799656259157 51.5937953776241, -0.0747517725809966 51.59367874103135, -0.0746693146303988 51.593904870930075, -0.0721075690207499 51.595147509638934, -0.0721890069460477 51.59538534043112, -0.0714205009670631 51.595457729373265, -0.0711030103779321 51.595625949667316, -0.0713854440757854 51.59584356891683, -0.0702807309803357 51.596282165107624, -0.068480713267384 51.5969805772399, -0.068295604453676 51.596980012626524, -0.0689484327204016 51.59534957468726, -0.0695057086408985 51.5939932167486))",45.029,38.225,28.978,16.437,80.832,53.491,44.344,41.479206000000005,37.476674200000005,0
E01003488,Newham 019A,"POLYGON ((0.0432220735369353 51.53253972488141, 0.0435457136786994 51.531602316994565, 0.0441307531955403 51.53162660992332, 0.0442814833085957 51.53129711622226, 0.0433522019987059 51.53115144879458, 0.041724967246174 51.53087402394754, 0.0415084090518011 51.53134000016536, 0.040795187941691 51.53123811422816, 0.0405830601148345 51.53161802336885, 0.0400928616533581 51.532612671530835, 0.0398349406261271 51.53294318736828, 0.0396320385555312 51.533401449374985, 0.0405366788232352 51.53369822977255, 0.0399988424643836 51.53528261033997, 0.0392196986239465 51.53546790953284, 0.039232546397921 51.53629795444538, 0.0394308135495365 51.536342717292946, 0.0435215305089766 51.537283264580466, 0.0444034305496597 51.53639714371495, 0.0424876959253708 51.535988004359005, 0.0423655716151125 51.535621664054815, 0.0424407696613328 51.53559172197713, 0.0426759631042571 51.53549505570373, 0.0421972105340486 51.53508661628056, 0.0422266637158382 51.53368619225257, 0.0427676156536384 51.53254806296121, 0.0432220735369353 51.53253972488141))",50.448,43.874,24.598,24.554,34.113,85.107,18.756,40.689738,41.4001444,0
