LSOA11CD,sum,rent,own,renter-occupied(%),unoccupied-occupied(%)
E01000886,593,255,338,43.00168634064081,8.346213292117465
E01000887,654,384,270,58.71559633027523,7.365439093484419
E01000888,637,362,275,56.828885400313965,6.323529411764706
E01000889,709,572,137,80.67700987306064,7.198952879581152
E01000890,607,532,75,87.64415156507414,9.538002980625931
E01000891,614,521,93,84.85342019543974,12.285714285714286
E01000892,821,494,327,60.17052375152253,11.434735706580366
E01000893,658,275,383,41.79331306990882,12.962962962962962
E01000894,567,246,321,43.386243386243386,13.829787234042554
E01000895,790,531,259,67.21518987341773,13.849509269356597
E01000896,664,277,387,41.71686746987952,13.315926892950392
E01000897,658,292,366,44.37689969604863,12.616201859229747
E01000898,823,668,155,81.16646415552854,13.912133891213388
E01000899,706,261,445,36.96883852691218,15.347721822541965
E01000900,719,476,243,66.20305980528511,7.345360824742269
E01000901,735,623,112,84.76190476190476,7.3139974779319035
E01000902,548,458,90,83.57664233576642,6.484641638225256
E01000903,620,401,219,64.6774193548387,12.676056338028168
E01000904,895,701,194,78.32402234636872,8.205128205128204
E01000905,764,665,99,87.04188481675392,9.47867298578199
E01000906,732,438,294,59.83606557377049,11.913357400722022
E01000907,620,429,191,69.19354838709677,2.6687598116169546
E01000908,772,529,243,68.52331606217616,10.854503464203233
E01000909,643,239,404,37.16951788491446,6.811594202898551
E01000910,558,233,325,41.75627240143369,8.072487644151565
E01000911,630,361,269,57.3015873015873,7.624633431085044
E01000912,681,474,207,69.60352422907489,6.712328767123288
E01000913,677,188,489,27.76957163958641,17.939393939393938
E01000914,765,574,191,75.0326797385621,37.75427176566314
E01000915,592,503,89,84.96621621621621,6.329113924050633
E01000916,934,724,210,77.51605995717344,18.21366024518389
E01000917,749,669,80,89.31909212283044,13.908045977011493
E01000918,812,653,159,80.41871921182266,29.329852045256743
E01000919,718,561,157,78.13370473537604,32.136105860113425
E01000920,822,631,191,76.7639902676399,22.525918944392085
E01000921,917,661,256,72.08287895310797,10.970873786407767
E01000922,679,473,206,69.66126656848306,8.859060402684564
E01000923,630,352,278,55.87301587301587,10.0
E01000924,718,432,286,60.16713091922006,10.362047440699126
E01000925,570,467,103,81.9298245614035,7.01468189233279
E01000926,604,446,158,73.84105960264901,10.119047619047619
E01000927,682,372,310,54.54545454545454,10.38107752956636
E01000928,753,451,302,59.8937583001328,8.28258221680877
E01000929,724,579,145,79.97237569060773,9.72568578553616
E01000930,1110,943,167,84.95495495495496,12.735849056603774
E01000931,927,737,190,79.50377562028046,13.687150837988826
E01000932,874,636,238,72.76887871853546,10.9979633401222
E01000933,810,561,249,69.25925925925925,10.398230088495575
E01000934,718,576,142,80.22284122562674,8.767471410419315
E01000935,703,619,84,88.05120910384068,8.58257477243173
E01000936,442,344,98,77.82805429864254,20.503597122302157
E01000937,417,304,113,72.90167865707434,17.09741550695825
E01000938,629,561,68,89.1891891891892,19.047619047619047
E01000939,491,430,61,87.57637474541752,10.23765996343693
E01000940,302,272,30,90.06622516556291,17.032967032967033
E01000941,533,470,63,88.18011257035647,4.480286738351254
E01000942,512,362,150,70.703125,35.27180783817952
E01000943,437,340,97,77.80320366132723,31.181102362204726
E01000944,561,476,85,84.84848484848484,9.951845906902086
E01000945,549,476,73,86.70309653916212,17.44360902255639
E01000946,686,490,196,71.42857142857143,26.78762006403415
E01000947,820,667,153,81.34146341463413,21.455938697318008
E01000948,749,509,240,67.95727636849132,13.709677419354838
E01000949,691,643,48,93.05354558610708,9.55497382198953
E01000950,352,308,44,87.5,16.389548693586697
E01000951,559,473,86,84.61538461538461,9.253246753246753
E01000952,650,566,84,87.07692307692308,6.609195402298851
E01000953,1366,1077,289,78.84333821376282,19.171597633136095
E01000954,648,624,24,96.29629629629628,7.954545454545454
E01000955,536,506,30,94.40298507462688,6.620209059233449
E01000956,600,524,76,87.33333333333333,19.893190921228303
E01000957,650,486,164,74.76923076923076,10.83676268861454
E01000958,952,758,194,79.62184873949579,11.02803738317757
E01000959,686,591,95,86.15160349854227,6.027397260273973
E01000960,892,637,255,71.41255605381166,12.720156555772993
E01000961,726,524,202,72.1763085399449,10.591133004926109
E01000962,760,469,291,61.71052631578947,11.421911421911423
E01000963,824,541,283,65.65533980582524,22.91861552853134
E01000964,749,524,225,69.95994659546061,10.084033613445378
E01000965,820,568,252,69.26829268292683,7.029478458049887
E01000966,698,370,328,53.00859598853869,7.793923381770146
E01000967,640,363,277,56.71874999999999,16.449086161879894
E01000968,726,483,243,66.52892561983471,10.81081081081081
E01000969,889,524,365,58.94263217097863,10.832497492477431
E01000970,759,521,238,68.6429512516469,11.744186046511627
E01000971,579,285,294,49.22279792746114,7.802547770700636
E01000972,964,837,127,86.82572614107885,9.483568075117372
E01000973,1118,840,278,75.13416815742397,12.65625
E01000974,769,594,175,77.24317295188557,11.405529953917052
