LSOA11CD,asian(%),black(%),mixed(%),white(%),other(%),Heterogeneity index
E01004097,10.92335546167773,3.56065178032589,5.310802655401328,78.45503922751962,1.7501508750754375,0.368154123123531
E01004099,5.521091811414392,5.086848635235732,5.893300248138958,82.32009925558313,1.1786600496277915,0.31309225473957714
E01004100,12.385321100917432,4.259501965923985,5.7011795543905635,76.53997378768021,1.1140235910878113,0.3936348379937784
E01004103,12.556306306306306,6.86936936936937,4.954954954954955,73.08558558558559,2.5337837837837838,0.4422676477152828
E01004120,12.277227722772277,0.8580858085808581,3.498349834983498,80.66006600660066,2.706270627062706,0.3322924767724297
E01004121,17.850408548082967,2.576995600251414,4.776869893148962,71.90446260213702,2.8912633563796355,0.4473292376468674
E01004137,21.892103205629397,5.9812353401094605,6.293979671618452,61.06333072713057,4.769351055512119,0.5693869391951907
E01004138,16.657443276148314,4.8699501936912,4.648588821250692,70.00553403431101,3.8184836745987827,0.4761848177581556
E01004142,19.53125,7.928240740740741,6.105324074074074,60.73495370370371,5.700231481481482,0.5797171049811385
E01004144,24.23556058890147,4.813137032842582,4.4733861834654585,63.53340883352209,2.944507361268403,0.532429596929032
E01004145,22.759226713532513,6.282952548330405,4.525483304042179,61.072056239015815,5.360281195079086,0.5663533439790462
E01004148,20.383561643835616,6.410958904109589,6.2465753424657535,62.79452054794521,4.164383561643835,0.5543896415837868
E01004150,20.110887096774192,5.695564516129032,3.9818548387096775,66.12903225806451,4.08266129032258,0.5157540566467222
E01004151,18.30628803245436,5.88235294117647,4.513184584178499,66.22718052738337,5.070993914807302,0.5198154487366745
E01004152,21.203599550056243,7.592800899887514,4.105736782902137,62.26096737907761,4.83689538807649,0.5576076050111285
E01004155,19.926586261143157,5.40115364446775,4.981646565285789,66.22968012585211,3.46093340325118,0.515059330719022
E01004156,25.753830944142365,6.1789421651013345,4.992585269401879,59.07068709836876,4.003954522985665,0.5768257231653093
E01004160,15.900846432889965,5.743651753325272,5.199516324062878,70.01209189842805,3.143893591293833,0.4775561498342664
E01004171,16.39650872817955,5.112219451371571,3.3042394014962597,72.6932668329177,2.493765586034913,0.4403571806145484
