LSOA11CD,sum,rent,own,renter-occupied(%),unoccupied-occupied(%)
E01003069,517,264,253,51.06382978723404,3.7243947858473
E01003073,659,451,208,68.43702579666162,9.726027397260275
E01003076,967,685,282,70.83764219234746,10.462962962962962
E01003128,711,558,153,78.48101265822784,3.5278154681139755
E01003129,795,570,225,71.69811320754717,2.692778457772338
E01003157,572,227,345,39.68531468531469,5.454545454545454
E01003177,668,474,194,70.95808383233533,10.575635876840696
E01003196,671,445,226,66.31892697466468,3.5919540229885056
E01003199,897,444,453,49.49832775919732,6.0732984293193715
E01003204,731,470,261,64.29548563611492,6.997455470737914
E01003219,660,163,497,24.6969696969697,3.0837004405286343
E01003220,598,277,321,46.32107023411371,5.379746835443038
E01003245,641,549,92,85.64742589703587,1.9877675840978593
E01003271,623,102,521,16.37239165329053,2.959501557632399
E01003302,802,532,270,66.33416458852868,7.603686635944701
E01003305,781,553,228,70.80665813060179,5.790108564535585
E01003308,711,340,371,47.81997187060478,6.324110671936759
E01003314,667,274,393,41.07946026986507,5.120910384068279
E01003323,621,305,316,49.11433172302738,4.6082949308755765
E01003343,610,317,293,51.967213114754095,7.15372907153729
E01003346,652,324,328,49.693251533742334,3.8348082595870205
E01003355,820,420,400,51.21951219512195,7.239819004524888
E01003357,720,542,178,75.27777777777777,9.661229611041405
E01003362,502,74,428,14.741035856573706,2.7131782945736433
E01003367,1278,722,556,56.4945226917058,8.321377331420372
E01003372,638,427,211,66.92789968652038,5.059523809523809
E01003378,764,369,395,48.29842931937173,4.1405269761606025
E01003380,672,225,447,33.482142857142854,4.815864022662889
E01003386,764,422,342,55.235602094240846,3.2911392405063293
E01003394,669,280,389,41.85351270553064,5.240793201133145
E01003398,660,256,404,38.78787878787879,5.579399141630901
E01003401,625,355,270,56.8,11.598302687411598
E01003411,740,320,420,43.24324324324324,4.269081500646831
E01003413,723,291,432,40.24896265560166,5.366492146596859
E01003419,660,161,499,24.393939393939394,3.7900874635568513
E01003434,497,121,376,24.34607645875252,4.789272030651341
E01003436,606,271,335,44.71947194719472,3.1948881789137378
E01003451,664,205,459,30.873493975903614,3.065693430656934
E01003453,666,357,309,53.6036036036036,4.034582132564841
E01003465,465,82,383,17.634408602150536,9.1796875
E01003466,626,131,495,20.926517571884983,4.281345565749235
E01003468,637,105,532,16.483516483516482,2.4502297090352223
E01003479,607,426,181,70.18121911037892,3.650793650793651
E01003488,666,532,134,79.87987987987988,4.584527220630372
E01003489,962,681,281,70.79002079002079,4.27860696517413
E01003491,627,459,168,73.20574162679426,6.8350668647845465
E01003501,788,538,250,68.2741116751269,5.741626794258373
E01003514,525,404,121,76.95238095238095,3.8461538461538463
E01003524,555,345,210,62.16216216216216,5.290102389078498
E01003532,564,284,280,50.35460992907801,3.5897435897435894
E01003537,639,311,328,48.6697965571205,5.752212389380531
E01003540,603,395,208,65.50580431177447,5.337519623233909
E01003550,606,378,228,62.37623762376238,7.197549770290965
E01003551,619,448,171,72.37479806138933,6.77710843373494
E01003557,651,473,178,72.65745007680492,7.659574468085106
E01003559,894,607,287,67.89709172259508,8.401639344262295
E01003561,463,249,214,53.77969762419006,5.894308943089431
E01003567,509,326,183,64.04715127701375,8.12274368231047
E01003575,476,261,215,54.83193277310925,3.4482758620689653
E01003619,1061,826,235,77.85108388312912,7.255244755244755
E01003628,424,222,202,52.358490566037744,3.416856492027335
E01003644,508,145,363,28.54330708661417,1.3592233009708738
E01003647,633,277,356,43.75987361769352,3.211009174311927
E01003654,594,189,405,31.818181818181817,3.571428571428571
E01003655,635,155,480,24.40944881889764,4.223227752639517
E01003663,641,126,515,19.65678627145086,3.463855421686747
E01003678,471,86,385,18.259023354564757,3.285420944558522
E01003681,676,288,388,42.60355029585799,2.170767004341534
E01003702,921,372,549,40.390879478827365,2.5396825396825395
E01003704,688,322,366,46.80232558139535,2.824858757062147
E01003705,818,283,535,34.59657701711492,3.5377358490566038
E01003724,504,142,362,28.17460317460317,2.7027027027027026
E01003729,493,294,199,59.63488843813387,9.541284403669724
E01003731,425,228,197,53.64705882352941,1.1627906976744187
E01003734,496,251,245,50.60483870967742,6.591337099811676
E01003738,652,162,490,24.846625766871167,3.2640949554896146
E01003743,518,218,300,42.084942084942085,3.3582089552238807
E01003755,658,239,419,36.32218844984803,1.791044776119403
E01003756,758,316,442,41.68865435356201,2.445302445302445
E01003759,553,74,479,13.381555153707051,2.8119507908611596
E01003763,659,134,525,20.333839150227615,3.3724340175953076
E01003766,622,274,348,44.05144694533762,1.2698412698412698
E01003767,660,363,297,55.00000000000001,2.511078286558346
E01003776,894,581,313,64.98881431767339,2.720348204570185
E01003778,898,421,477,46.88195991091314,4.670912951167728
E01003782,486,254,232,52.2633744855967,6.358381502890173
E01003789,586,219,367,37.37201365187713,4.715447154471545
E01003795,429,38,391,8.857808857808857,3.3783783783783785
E01003815,934,387,547,41.434689507494646,6.506506506506507
E01003818,668,175,493,26.19760479041916,2.3391812865497075
E01003821,768,400,368,52.083333333333336,17.24137931034483
E01003822,524,30,494,5.7251908396946565,2.6022304832713754
E01003826,767,438,329,57.10560625814863,3.034134007585335
E01003829,697,363,334,52.08034433285509,3.5961272475795294
E01003840,584,198,386,33.9041095890411,1.0169491525423728
E01003855,900,543,357,60.333333333333336,6.05427974947808
E01003861,897,404,493,45.03901895206244,7.334710743801653
E01003863,621,323,298,52.012882447665056,4.6082949308755765
E01003870,819,241,578,29.426129426129428,5.208333333333334
E01003880,584,139,445,23.8013698630137,2.013422818791946
E01003886,671,205,466,30.55141579731744,5.758426966292135
E01003891,864,264,600,30.55555555555556,22.994652406417114
E01003898,735,257,478,34.965986394557824,4.545454545454546
E01003914,720,400,320,55.55555555555556,5.88235294117647
E01003922,961,711,250,73.98543184183143,6.2439024390243905
E01003932,688,531,157,77.18023255813954,7.898259705488621
E01003941,964,670,294,69.50207468879668,7.751196172248803
E01003958,775,363,412,46.83870967741935,4.084158415841585
E01003970,428,351,77,82.00934579439252,4.888888888888889
