LSOA_name,Total_POI_count,pub,cafe,fast_food,school,bus_stop,post_box,restaurant,telephone,supermarket,convenience
E01003672,19,0.0,3,1,2,6,2,4.0,0.0,0.0,1
E01003018,19,2.0,2,2,3,2,4,0.0,1.0,1.0,2
E01002026,19,0.0,2,8,0,3,0,1.0,2.0,2.0,1
E01003951,19,1.0,0,0,3,8,4,1.0,2.0,0.0,0
E01001354,19,0.0,0,2,5,7,2,1.0,0.0,0.0,2
E01004103,19,0.0,2,4,0,5,2,1.0,2.0,0.0,3
E01000648,19,2.0,2,0,2,6,4,2.0,0.0,1.0,0
E01003574,19,0.0,1,0,3,7,2,2.0,0.0,0.0,4
E01003571,19,0.0,2,0,2,3,1,7.0,0.0,0.0,4
E01003873,19,0.0,7,3,0,2,4,0.0,1.0,1.0,1
E01000993,19,0.0,3,8,1,2,3,1.0,0.0,0.0,1
E01004663,19,2.0,2,0,1,1,2,5.0,5.0,0.0,1
E01002353,18,1.0,3,2,1,7,1,2.0,0.0,0.0,1
E01003058,18,0.0,1,7,0,1,2,2.0,2.0,0.0,3
E01001386,18,2.0,3,1,0,2,4,5.0,0.0,0.0,1
E01002851,18,1.0,1,3,1,1,1,6.0,2.0,0.0,2
E01001973,18,1.0,1,1,1,7,4,0.0,0.0,1.0,2
E01001163,18,1.0,1,2,3,6,2,1.0,0.0,0.0,2
E01003118,18,1.0,2,4,1,5,3,0.0,0.0,1.0,1
E01002379,18,2.0,1,1,1,9,1,1.0,0.0,1.0,1
E01001928,18,2.0,2,2,2,6,2,1.0,1.0,0.0,0
E01004589,18,0.0,2,2,2,1,3,5.0,1.0,0.0,2
E01004528,18,0.0,1,1,0,7,2,5.0,0.0,0.0,2
E01000207,18,0.0,1,0,2,7,4,1.0,2.0,1.0,0
E01032572,18,2.0,1,0,0,6,5,1.0,2.0,0.0,1
E01004137,18,2.0,3,2,2,7,2,0.0,0.0,0.0,0
E01003804,18,0.0,2,2,2,1,2,8.0,0.0,0.0,1
E01000830,17,0.0,0,0,0,14,3,0.0,0.0,0.0,0
E01001814,17,1.0,0,0,1,6,2,0.0,6.0,1.0,0
E01004291,17,3.0,4,0,0,6,2,1.0,0.0,0.0,1
E01033101,17,1.0,2,3,0,4,1,2.0,0.0,0.0,4
E01000164,17,0.0,0,0,1,9,4,0.0,0.0,1.0,2
E01002955,17,0.0,0,0,0,10,5,1.0,0.0,0.0,1
E01004514,17,3.0,0,1,2,5,0,3.0,1.0,0.0,2
E01001074,17,0.0,1,1,2,9,4,0.0,0.0,0.0,0
E01002790,17,2.0,1,1,1,3,0,4.0,3.0,1.0,1
E01004356,17,1.0,0,0,1,13,2,0.0,0.0,0.0,0
E01004100,17,0.0,3,1,3,4,3,0.0,0.0,0.0,3
E01000601,17,0.0,0,1,2,10,2,1.0,0.0,1.0,0
E01002771,17,1.0,1,3,1,4,2,2.0,1.0,0.0,2
E01003291,17,0.0,2,2,1,3,3,1.0,1.0,0.0,4
E01001773,16,1.0,1,0,1,4,1,5.0,2.0,0.0,1
E01000497,16,0.0,1,1,2,8,1,1.0,0.0,1.0,1
E01003497,16,0.0,2,1,2,8,1,0.0,0.0,0.0,2
E01003523,16,1.0,0,1,2,6,1,1.0,1.0,0.0,3
E01004171,16,1.0,0,2,3,6,2,0.0,0.0,0.0,2
E01001661,16,0.0,0,0,3,10,1,0.0,2.0,0.0,0
E01001220,16,0.0,0,1,1,10,1,0.0,0.0,0.0,3
E01001558,16,0.0,1,7,1,3,1,0.0,0.0,1.0,2
E01004023,16,0.0,1,4,1,2,2,1.0,0.0,1.0,4
E01000698,16,0.0,0,0,1,11,4,0.0,0.0,0.0,0
E01004121,16,0.0,2,4,2,0,2,2.0,0.0,2.0,2
E01000794,16,0.0,0,0,1,12,3,0.0,0.0,0.0,0
E01000820,16,1.0,2,0,2,6,2,1.0,0.0,0.0,2
E01000649,16,0.0,0,0,0,10,5,0.0,0.0,0.0,1
E01003500,16,0.0,1,1,3,8,1,1.0,1.0,0.0,0
E01000352,16,1.0,0,2,1,8,0,1.0,0.0,1.0,2
E01000140,16,0.0,1,0,1,7,2,4.0,0.0,1.0,0
E01002999,16,0.0,2,1,3,2,2,3.0,1.0,0.0,2
E01004412,16,2.0,2,3,0,2,1,3.0,1.0,0.0,2
E01000027,16,1.0,0,1,1,13,0,0.0,0.0,0.0,0
E01002894,16,1.0,3,0,0,4,1,6.0,0.0,0.0,1
E01002109,16,0.0,0,0,3,10,3,0.0,0.0,0.0,0
E01002954,16,1.0,1,0,1,10,2,0.0,0.0,0.0,1
E01003190,16,2.0,0,0,1,9,3,0.0,0.0,1.0,0
E01001137,16,0.0,1,0,1,10,2,1.0,0.0,0.0,1
E01000433,16,0.0,0,0,1,12,2,0.0,1.0,0.0,0
E01004138,16,1.0,1,1,0,6,2,0.0,0.0,0.0,5
E01002637,15,0.0,0,1,0,10,2,0.0,0.0,1.0,1
E01002808,15,1.0,1,4,3,1,1,1.0,1.0,0.0,2
E01000358,15,2.0,0,2,1,3,3,1.0,0.0,1.0,2
E01002895,15,2.0,5,0,0,1,1,5.0,1.0,0.0,0
E01001591,15,1.0,1,5,0,3,1,1.0,1.0,1.0,1
E01001549,15,1.0,2,2,0,3,0,4.0,1.0,0.0,2
E01002633,15,2.0,0,0,2,11,0,0.0,0.0,0.0,0
E01003653,15,1.0,0,0,1,6,2,1.0,3.0,0.0,1
E01000499,15,1.0,0,0,0,10,3,0.0,0.0,0.0,1
E01003352,15,0.0,0,3,0,6,2,1.0,0.0,1.0,2
E01033455,15,2.0,0,2,1,2,3,3.0,0.0,1.0,1
E01000620,15,0.0,0,0,1,7,3,0.0,1.0,0.0,3
E01033738,15,1.0,0,1,1,5,2,2.0,0.0,1.0,2
E01001869,15,1.0,0,0,6,1,3,1.0,3.0,0.0,0
E01003037,15,0.0,1,1,1,3,0,4.0,2.0,0.0,3
E01003486,15,1.0,0,1,1,6,3,0.0,1.0,2.0,0
E01000646,15,1.0,1,1,1,3,3,1.0,1.0,0.0,3
E01000866,15,1.0,2,1,1,3,1,1.0,3.0,1.0,1
E01000482,15,1.0,0,1,2,8,0,0.0,0.0,1.0,2
E01000909,15,0.0,4,0,1,3,3,3.0,0.0,0.0,1
E01002854,15,0.0,1,0,0,6,1,3.0,2.0,1.0,1
E01004156,15,0.0,3,0,1,5,2,3.0,1.0,0.0,0
E01000350,15,1.0,1,2,1,5,2,2.0,0.0,0.0,1
E01001806,15,1.0,4,0,2,3,2,2.0,0.0,0.0,1
E01032569,15,0.0,1,2,1,7,2,0.0,1.0,0.0,1
E01004267,15,0.0,1,4,1,4,0,2.0,3.0,0.0,0
E01003758,15,0.0,1,2,2,2,1,2.0,1.0,0.0,4
E01002573,15,1.0,2,0,1,4,4,1.0,1.0,0.0,1
